# spatial freqs [1/mm], spectrum [a.u.]
-2.560000000000000000e+02,9.496736189756790125e+00
-2.550000000000000000e+02,1.872130517137723515e+01
-2.540000000000000000e+02,1.016122464031981032e+01
-2.530000000000000000e+02,1.848064681740069659e+01
-2.520000000000000000e+02,9.416966318808700720e+00
-2.510000000000000000e+02,1.904097554224223288e+01
-2.500000000000000000e+02,9.756316968664540568e+00
-2.490000000000000000e+02,1.907683375873320841e+01
-2.480000000000000000e+02,1.022284156010950973e+01
-2.470000000000000000e+02,1.900296481422991590e+01
-2.460000000000000000e+02,1.047606886475490384e+01
-2.450000000000000000e+02,1.829070879712466180e+01
-2.440000000000000000e+02,9.956416774032005534e+00
-2.430000000000000000e+02,1.882978334008696919e+01
-2.420000000000000000e+02,1.000661523348887627e+01
-2.410000000000000000e+02,1.874078997966116233e+01
-2.400000000000000000e+02,1.055743292279950474e+01
-2.390000000000000000e+02,1.826423564869583416e+01
-2.380000000000000000e+02,9.989582105582742955e+00
-2.370000000000000000e+02,1.917117141488925114e+01
-2.360000000000000000e+02,1.003150452683686922e+01
-2.350000000000000000e+02,1.911561002155880473e+01
-2.340000000000000000e+02,1.006857765099480773e+01
-2.330000000000000000e+02,1.890596663173657177e+01
-2.320000000000000000e+02,1.002369269771793903e+01
-2.310000000000000000e+02,1.873953034478339319e+01
-2.300000000000000000e+02,9.652174931170028671e+00
-2.290000000000000000e+02,1.911173071089577391e+01
-2.280000000000000000e+02,1.038805972522049892e+01
-2.270000000000000000e+02,1.930935405296601814e+01
-2.260000000000000000e+02,1.007821241020163505e+01
-2.250000000000000000e+02,1.865177399007715664e+01
-2.240000000000000000e+02,1.036022348661386161e+01
-2.230000000000000000e+02,1.959341941998826897e+01
-2.220000000000000000e+02,9.976308681661581801e+00
-2.210000000000000000e+02,1.921819312221155229e+01
-2.200000000000000000e+02,1.081715715287887214e+01
-2.190000000000000000e+02,1.978509620338978436e+01
-2.180000000000000000e+02,1.052275385370446159e+01
-2.170000000000000000e+02,1.965494595437401770e+01
-2.160000000000000000e+02,1.040033926807505615e+01
-2.150000000000000000e+02,1.960701898830469858e+01
-2.140000000000000000e+02,1.097955780536375947e+01
-2.130000000000000000e+02,1.932350453860829731e+01
-2.120000000000000000e+02,1.061798180467109098e+01
-2.110000000000000000e+02,1.950600885681005536e+01
-2.100000000000000000e+02,1.023078915962911317e+01
-2.090000000000000000e+02,2.041357101219942649e+01
-2.080000000000000000e+02,1.169988512486799692e+01
-2.070000000000000000e+02,1.973346869998768582e+01
-2.060000000000000000e+02,1.143628766000936281e+01
-2.050000000000000000e+02,2.091070082910036732e+01
-2.040000000000000000e+02,1.162763602361573234e+01
-2.030000000000000000e+02,2.066676670303486674e+01
-2.020000000000000000e+02,1.180249982961934485e+01
-2.010000000000000000e+02,2.117050136493744006e+01
-2.000000000000000000e+02,1.106198555324759703e+01
-1.990000000000000000e+02,2.101662790307636541e+01
-1.980000000000000000e+02,1.194414066818746178e+01
-1.970000000000000000e+02,2.002613595115280276e+01
-1.960000000000000000e+02,1.201060840711351041e+01
-1.950000000000000000e+02,2.069019617789883370e+01
-1.940000000000000000e+02,1.191992539628936321e+01
-1.930000000000000000e+02,2.147765595028633001e+01
-1.920000000000000000e+02,1.268838309234702777e+01
-1.910000000000000000e+02,2.137157736266339469e+01
-1.900000000000000000e+02,1.319353396883151852e+01
-1.890000000000000000e+02,2.094892778161796087e+01
-1.880000000000000000e+02,1.275128505073683627e+01
-1.870000000000000000e+02,2.186844880180489525e+01
-1.860000000000000000e+02,1.242886894250095686e+01
-1.850000000000000000e+02,2.135113668751152360e+01
-1.840000000000000000e+02,1.170898289237055323e+01
-1.830000000000000000e+02,2.168406713495998162e+01
-1.820000000000000000e+02,1.269218116843225097e+01
-1.810000000000000000e+02,2.077180406041307492e+01
-1.800000000000000000e+02,1.270984683915964020e+01
-1.790000000000000000e+02,2.141468696020041662e+01
-1.780000000000000000e+02,1.317438955651529575e+01
-1.770000000000000000e+02,2.251639135320190377e+01
