# spatial freqs [1/mm], spectrum [a.u.]
-5.120000000000000000e+02,1.822687647408782405e-02
-5.110000000000000000e+02,-1.020534116106348171e-02
-5.100000000000000000e+02,1.821894354133397897e-02
-5.090000000000000000e+02,-1.019717160217871454e-02
-5.080000000000000000e+02,1.821115407183620041e-02
-5.070000000000000000e+02,-1.018884109113062444e-02
-5.060000000000000000e+02,1.820350749608191931e-02
-5.050000000000000000e+02,-1.018034895022202485e-02
-5.040000000000000000e+02,1.819600327310235896e-02
-5.030000000000000000e+02,-1.017169447285763174e-02
-5.020000000000000000e+02,1.818864088779972507e-02
-5.010000000000000000e+02,-1.016287692635402425e-02
-5.000000000000000000e+02,1.818141984919361895e-02
-4.990000000000000000e+02,-1.015389563327852469e-02
-4.980000000000000000e+02,1.817433958210581263e-02
-4.970000000000000000e+02,-1.014474966799135645e-02
-4.960000000000000000e+02,1.816739963553633611e-02
-4.950000000000000000e+02,-1.013543851603313124e-02
-4.940000000000000000e+02,1.816059972398191558e-02
-4.930000000000000000e+02,-1.012596117633575779e-02
-4.920000000000000000e+02,1.815393924574187565e-02
-4.910000000000000000e+02,-1.011631747793117521e-02
-4.900000000000000000e+02,1.814741700978991790e-02
-4.890000000000000000e+02,-1.010650581828982132e-02
-4.880000000000000000e+02,1.814103267998496555e-02
-4.870000000000000000e+02,-1.009652573431872764e-02
-4.860000000000000000e+02,1.813478616756115241e-02
-4.850000000000000000e+02,-1.008637812183747068e-02
-4.840000000000000000e+02,1.812867633254919633e-02
-4.830000000000000000e+02,-1.007606229428750604e-02
-4.820000000000000000e+02,1.812270550992533050e-02
-4.810000000000000000e+02,-1.006557744908274585e-02
-4.800000000000000000e+02,1.811686612323264861e-02
-4.790000000000000000e+02,-1.005492272665482571e-02
-4.780000000000000000e+02,1.811116057937670401e-02
-4.770000000000000000e+02,-1.004408941945809930e-02
-4.760000000000000000e+02,1.810558983023357812e-02
-4.750000000000000000e+02,-1.003310091812558737e-02
-4.740000000000000000e+02,1.810014457378678748e-02
-4.730000000000000000e+02,-1.002194082724053997e-02
-4.720000000000000000e+02,1.809482899794814109e-02
-4.710000000000000000e+02,-1.001059073479607792e-02
-4.700000000000000000e+02,1.808965613902415934e-02
-4.690000000000000000e+02,-9.999115557123601852e-03
-4.680000000000000000e+02,1.808460104572340299e-02
-4.670000000000000000e+02,-9.987447676601932459e-03
